c:\sys\ut\rpn\rpn.py -l120 -E -a3010 1 5000 range lambda 2 x ** next_prime 2 x ** - eval 1 enumerate -s1
[
    [ 557, 357 ],
    [ 558, 33 ],
    [ 559, 153 ],
    [ 560, 211 ],
    [ 561, 701 ],
    [ 562, 45 ],
    [ 563, 459 ],
    [ 564, 115 ],
    [ 565, 669 ],
    [ 566, 427 ],
    [ 567, 1163 ],
    [ 568, 51 ],
    [ 569, 369 ],
    [ 570, 25 ],
    [ 571, 71 ],
    [ 572, 57 ],
    [ 573, 11 ],
    [ 574, 129 ],
    [ 575, 131 ],
    [ 576, 243 ],
    [ 577, 489 ],
    [ 578, 177 ],
    [ 579, 333 ],
    [ 580, 133 ],
    [ 581, 321 ],
    [ 582, 135 ],
    [ 583, 629 ],
    [ 584, 253 ],
    [ 585, 407 ],
    [ 586, 73 ],
    [ 587, 303 ],
    [ 588, 7 ],
    [ 589, 405 ],
    [ 590, 445 ],
    [ 591, 1335 ],
    [ 592, 87 ],
    [ 593, 405 ],
    [ 594, 315 ],
    [ 595, 575 ],
    [ 596, 67 ],
    [ 597, 159 ],
    [ 598, 279 ],
    [ 599, 323 ],
    [ 600, 187 ],
    [ 601, 51 ],
    [ 602, 265 ],
    [ 603, 129 ],
    [ 604, 337 ],
    [ 605, 77 ],
    [ 606, 477 ],
    [ 607, 485 ],
    [ 608, 253 ],
    [ 609, 369 ],
    [ 610, 7 ],
    [ 611, 261 ],
    [ 612, 297 ],
    [ 613, 417 ],
    [ 614, 933 ],
    [ 615, 119 ],
    [ 616, 175 ],
    [ 617, 599 ],
    [ 618, 267 ],
    [ 619, 59 ],
    [ 620, 1063 ],
    [ 621, 135 ],
    [ 622, 555 ],
    [ 623, 83 ],
    [ 624, 451 ],
    [ 625, 249 ],
    [ 626, 483 ],
    [ 627, 143 ],
    [ 628, 121 ],
    [ 629, 41 ],
    [ 630, 715 ],
    [ 631, 1281 ],
    [ 632, 391 ],
    [ 633, 2081 ],
    [ 634, 249 ],
    [ 635, 1533 ],
    [ 636, 1041 ],
    [ 637, 591 ],
    [ 638, 69 ],
    [ 639, 413 ],
    [ 640, 115 ],
    [ 641, 681 ],
    [ 642, 1165 ],
    [ 643, 59 ],
    [ 644, 247 ],
    [ 645, 497 ],
    [ 646, 573 ],
    [ 647, 473 ],
    [ 648, 81 ],
    [ 649, 329 ],
    [ 650, 385 ],
    [ 651, 89 ],
